Rank,Country (or dependent territory),Population,% of world,population,Date,Source
1, China,1402393160,18.00%,27-Apr-20,National population clock[3],
2, India,1361543483,17.50%,27-Apr-20,National population clock[4],
3, United States,329589582,4.24%,27-Apr-20,National population clock[5],
4, Indonesia,266911900,3.43%,01-Jul-19,National annual projection[6],
5, Pakistan,219423520,2.82%,27-Apr-20,2017 census[7],
6, Brazil,211447038,2.72%,27-Apr-20,National population clock[8],
7, Nigeria,206139587,2.65%,01-Jul-20,UN projection[2],
8, Bangladesh,168512570,2.17%,27-Apr-20,National population clock[9],
9, Russia,146745098,1.89%,01-Jan-20,National estimate[10],
10, Mexico,126577691,1.63%,01-Jul-19,National annual projection[11],
11, Japan,125950000,1.62%,01-Mar-20,Monthly provisional estimate[12],
12, Philippines,108549681,1.39%,27-Apr-20,National population clock[13],
13, Egypt,100304585,1.29%,27-Apr-20,National population clock[14],
14, Ethiopia,98665000,1.27%,01-Jul-19,National annual projection[15],
15, Vietnam,96208984,1.24%,01-Apr-19,Preliminary 2019 census result[16],
16, DR Congo,89561404,1.15%,01-Jul-20,UN projection[2],
17, Iran,83399269,1.07%,27-Apr-20,National population clock[17],
18, Turkey,83154997,1.07%,31-Dec-19,National annual estimate[18],
19, Germany,83149300,1.07%,30-Sep-19,National estimate[19],
20, France,67075000,0.86%,01-Apr-20,Monthly national estimate[20],
21, Thailand,66498292,0.86%,27-Apr-20,National population clock[21],
22, United Kingdom,66435550,0.85%,30-Jun-18,National annual estimate[22],
23, Italy,60238522,0.77%,30-Nov-19,Monthly national estimate[23],
24, South Africa,58775022,0.76%,01-Jul-19,National annual estimate[24],
25, Tanzania,55890747,0.72%,01-Jul-19,National annual projection[25],
26, Myanmar,54339766,0.70%,01-Jul-19,National annual projection[26],
27, South Korea,51780579,0.67%,01-Jul-20,National annual projection[27],
28, Colombia,49395678,0.64%,30-Jun-19,National annual projection[28],
29, Kenya,47564296,0.61%,31-Aug-19,2019 census result[29],
30, Spain,47100396,0.61%,01-Jul-19,National estimate[30],
31, Argentina,44938712,0.58%,01-Jul-19,National annual projection[31],
32, Algeria,43000000,0.55%,01-Jan-19,National annual projection[32],
33, Sudan,42459015,0.55%,27-Apr-20,National population clock[33],
34, Ukraine,41858119,0.54%,01-Mar-20,Monthly national estimate[34],
35, Uganda,40299300,0.52%,01-Jul-19,National annual projection[35],
36, Iraq,39127900,0.50%,01-Jul-19,National annual projection[36],
37, Poland,38379000,0.49%,31-Jan-20,National estimate[37],
38, Canada,38008336,0.49%,27-Apr-20,National population clock[38],
39, Morocco,35880810,0.46%,27-Apr-20,National population clock[39],
40, Saudi Arabia,34218169,0.44%,01-Jul-19,National estimate,
41, Uzbekistan,34150216,0.44%,27-Apr-20,National population clock[40],
42, Malaysia,32762760,0.42%,27-Apr-20,National population clock[41],
43, Afghanistan,32225560,0.41%,01-Jul-19,National annual estimate[42],
44, Venezuela,32219521,0.41%,30-Jun-19,National annual projection,
45, Peru,32131400,0.41%,30-Jun-19,National annual projection[43],
46, Angola,31127674,0.40%,2020,National projection[44],
